Chi_tieu,Gia_tri,Don_vi
Lãi phải trả tiền gửi tiết kiệm bằng VND,8202683,Trieu dong
Lãi phải trả tiền gửi của khách hàng vàcác TCTD bằng VND,2144946,Trieu dong
Lãi phải trả cho các giấy tờ có giá bằng VND,1112272,Trieu dong
Lãi phải trả từ giao dịch phải sinh tiền tệ,52905,Trieu dong
Lãi phải trả tiền vay các TCTD khác bằng ngoại tệ,11745,Trieu dong
Lãi phải trả tiền vay NHNN và các TCTD khác bằngVND,5610,Trieu dong
Lãi phải trả tiền gửi của khách hàng và các TCTDbằng ngoại tệ,2046,Trieu dong
Lãi phải trả tiền gửi tiết kiệm bằng ngoại tệ,75,Trieu dong
